why_not_an_alert,date,time,symbol,outcome,source,raw
"status line - startup banner, not an alert",2026-08-22,02:56,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-08-23,18:18,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-08-24,00:38,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
duplicate-guard message - the alert it refers to is logged elsewhere,2026-08-24,09:38,QQQ,OTHER refusal,trades.log,PULLBACK refused  already waiting on a QQQ pullback — not arming a second one
duplicate-guard message - the alert it refers to is logged elsewhere,2026-08-24,09:41,SPY,OTHER refusal,trades.log,PULLBACK refused  already waiting on a SPY pullback — not arming a second one
futures prop-firm status (Topstep/ProjectX) - not an option alert,2026-08-24,10:52,?,FUTURES prop refused,trades.log,"PROP-NO  Topstep: Topstep has this account paused or locked (daily-loss pause, or a breach) — nothing sent"
futures prop-firm status (Topstep/ProjectX) - not an option alert,2026-08-24,20:38,MGC,FUTURES prop refused,trades.log,PROP-NO  Topstep: MGC is switched off for Topstep — his call. Nothing was sent.
"status line - startup banner, not an alert",2026-08-25,09:21,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
futures prop-firm status (Topstep/ProjectX) - not an option alert,2026-08-25,12:54,?,FUTURES prop refused,trades.log,"PROP-NO  Topstep: ProjectX refused the order (HTTP 200 {""orderId"":3447352127,""success"":false,""errorCode"":2,""errorMessage"":""Brackets cannot be used with Position Brackets. You must enable Auto OCO Brackets.""})"
futures prop-firm status (Topstep/ProjectX) - not an option alert,2026-08-25,15:37,MGC,FUTURES prop refused,trades.log,PROP-NO  Topstep: MGC is switched off for Topstep — his call. Nothing was sent.
futures prop-firm status (Topstep/ProjectX) - not an option alert,2026-08-25,15:52,ET,FUTURES prop refused,trades.log,PROP-NO  Topstep: inside the flat-by-4:10-PM-ET window (no new entries 3:50-6:00 PM ET) — nothing sent. Exits still go.
"status line - startup banner, not an alert",2026-08-26,00:08,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
futures prop-firm status (Topstep/ProjectX) - not an option alert,2026-08-26,09:53,?,FUTURES prop refused,trades.log,"PROP-NO  Topstep: Topstep has this account paused or locked (daily-loss pause, or a breach) — nothing sent"
"status line - startup banner, not an alert",2026-08-27,19:35,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-08-28,12:37,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
futures prop-firm status (Topstep/ProjectX) - not an option alert,2026-08-28,14:12,?,FUTURES prop refused,trades.log,"PROP-NO  Topstep: ProjectX refused the order (HTTP 200 {""orderId"":3464473794,""success"":false,""errorCode"":2,""errorMessage"":""Brackets cannot be used with Position Brackets. You must enable Auto OCO Brackets.""})"
"status line - startup banner, not an alert",2026-08-29,00:03,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-09-01,00:10,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-09-02,00:32,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-09-03,10:23,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-09-04,09:24,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"swing-trading switch is off - a setting, not an alert",2026-09-04,15:49,INTC,SWINGS paused,trades.log,SWING-OFF INTC refused — swing trades are PAUSED (9/18 is 14 days out (14+ days is a swing here)). Nothing was sent.
"swing-trading switch is off - a setting, not an alert",2026-09-04,15:57,SKHY,SWINGS paused,trades.log,SWING-OFF SKHY refused — swing trades are PAUSED (9/18 is 14 days out (14+ days is a swing here)). Nothing was sent.
"swing-trading switch is off - a setting, not an alert",2026-09-04,15:58,BA,SWINGS paused,trades.log,SWING-OFF BA refused — swing trades are PAUSED (9/18 is 14 days out (14+ days is a swing here)). Nothing was sent.
"status line - startup banner, not an alert",2026-09-05,20:30,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"swing-trading switch is off - a setting, not an alert",2026-09-08,10:09,XLF,SWINGS paused,trades.log,SWING-OFF XLF refused — swing trades are PAUSED (the call said swing). Nothing was sent.
"swing-trading switch is off - a setting, not an alert",2026-09-08,10:15,INTC,SWINGS paused,trades.log,SWING-OFF INTC refused — swing trades are PAUSED (10/2 is 24 days out (14+ days is a swing here)). Nothing was sent.
"swing-trading switch is off - a setting, not an alert",2026-09-08,10:15,MARA,SWINGS paused,trades.log,SWING-OFF MARA refused — swing trades are PAUSED (10/2 is 24 days out (14+ days is a swing here)). Nothing was sent.
futures prop-firm status (Topstep/ProjectX) - not an option alert,2026-09-08,10:23,?,FUTURES prop refused,trades.log,"PROP-NO  Topstep: ProjectX refused the order (HTTP 200 {""orderId"":3499498418,""success"":false,""errorCode"":2,""errorMessage"":""Invalid stop loss ticks (40). Ticks should be less than zero when longing.""})"
"swing-trading switch is off - a setting, not an alert",2026-09-08,15:55,RKLB,SWINGS paused,trades.log,SWING-OFF RKLB refused — swing trades are PAUSED (10/16 is 38 days out (14+ days is a swing here)). Nothing was sent.
"swing-trading switch is off - a setting, not an alert",2026-09-09,13:29,AVGO,SWINGS paused,trades.log,SWING-OFF AVGO refused — swing trades are PAUSED (10/16 is 37 days out (14+ days is a swing here)). Nothing was sent.
"swing-trading switch is off - a setting, not an alert",2026-09-09,15:59,SPY,SWINGS paused,trades.log,SWING-OFF SPY refused — swing trades are PAUSED (the call said swing). Nothing was sent.
"swing-trading switch is off - a setting, not an alert",2026-09-10,10:19,DAL,SWINGS paused,trades.log,SWING-OFF DAL refused — swing trades are PAUSED (11/20 is 71 days out (14+ days is a swing here)). Nothing was sent.
futures prop-firm status (Topstep/ProjectX) - not an option alert,2026-09-10,13:12,?,FUTURES prop refused,trades.log,"PROP-NO  Topstep: Topstep has this account paused or locked (daily-loss pause, or a breach) — nothing sent"
